username,time,text,tags,latitude,longitude,location
@AbuJamajem,Oct 13,"Recall how Assad told the Syrian cabinet and public in May that the country couldn’t afford a more forward-leaning COVID response – that COVID would maybe kill you, but hunger caused by economic shutdown definitely would.

These choices are not a surprise.",[],33.894204,35.485805,Beirut
@aljoumhouria,Oct 13,"خبر مفرح من ""الصحة العالمية"" بشأن لقاح كورونا
https://aljoumhouria.com/ar/news/558209",[],33.894204,35.485805,Beirut
@cap_bob2014,Oct 13,"ايام الرشح بلشت...
#كورونا",['#كورونا'],33.894204,35.485805,Beirut
@jarasscoop,Oct 13,"#فيروس_كورونا قادر على البقاء 28 يوماً على الهواتف والأوراق النقدية
https://aawsat.com/home/article/2561536/%D8%A7%D9%84%D9%81%D9%8A%D8%B1%D9%88%D8%B3-%D9%82%D8%A7%D8%AF%D8%B1-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A8%D9%82%D8%A7%D8%A1-28-%D9%8A%D9%88%D9%85%D8%A7%D9%8B-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%87%D9%88%D8%A7%D8%AA%D9%81-%D9%88%D8%A7%D9%84%D8%A3%D9%88%D8%B1%D8%A7%D9%82-%D8%A7%D9%84%D9%86%D9%82%D8%AF%D9%8A%D8%A9…",['#فيروس_كورونا'],33.894204,35.485805,Beirut
@Ar_independent,Oct 13,الإتحاد البرتغالي لكرة القدم يعلن إصابة نجمه كريستيانو رونالدو بفيروس كورونا,[],33.894204,35.485805,Beirut
@Mustaqbalweblb,Oct 13,كورونا يُقفل قلمين في قصر عدل بعبدا ليومين,[],33.894204,35.485805,Beirut
@AliwaaNewspaper,Oct 13,"تسجيل أول وفاة في العالم لامرأة أصيبت بـ «كورونا» مرّتين
https://bit.ly/2SOKrx1",[],33.894204,35.485805,Beirut
@leb_now,Oct 13,وفاة أستاذة ثانوي لبنانية ( ٢٧ عاماً ) بفيروس كورونا,[],33.894204,35.485805,Beirut
@bisara7a,Oct 13,"صدمة تُصيب جمهور كريستيانو رونالدو... والسبب
http://bisara7a.com/%d8%a5%d8%b5%d8%a7%d8%a8%d8%a9-%d9%83%d8%b1%d9%8a%d8%b3%d8%aa%d9%8a%d8%a7%d9%86%d9%88-%d8%b1%d9%88%d9%86%d8%a7%d9%84%d8%af%d9%88-%d8%a8%d9%81%d9%8a%d8%b1%d9%88%d8%b3-%d9%83%d9%88%d8%b1%d9%88%d9%86/…
#مشاهير #رونالدو #كريستيانو_رونالدو #كورونا #فيروس #البرتغال","['#فيروس', '#مشاهير', '#رونالدو', '#كريستيانو_رونالدو', '#كورونا', '#البرتغال']",33.894204,35.485805,Beirut
@Lebanon24,Oct 13,"طبيب البيت الأبيض: ترامب لم يعد ناقلا لعدوى كورونا
#lebanon24",['#lebanon24'],33.894204,35.485805,Beirut
