username,time,text,tags,locations
m | f,Aug 12,"This Lebanese generation has survived:
- Syrian and Israeli occupation
- Economic collpase
- Hariri assasination
- Multiple Anti-Syrian assasinations
- 2006 israeli war
- May 7th mini civil war 
- The extremists terrorist attacks
- ISIS
- Financial crisis
- Corona
-Beirut Bombing",[],
rami bou,Aug 11,"Replying to 
@RichardRondn5
 and 
@YanezStable",[],
"Ibrahim M. Karkouti, Ed.D.",Aug 11,"Blast Survivor > Corona Survivor

#BeirutExplosion  #Beirut #Lebanon","['#Beirut', '#BeirutExplosion', '#Lebanon']",
الراية,Aug 11,"Replying to 
@amandeen_soumar",[],
Gbelaur,Aug 11,"Replying to 
@veryreallybored",[],
Mount The Gallows For Ralph and JoeⓋ,Aug 9,"Replying to 
@falafelllll",[],
Gbelaur,Aug 9,"Replying to 
@janethejay",[],
JS,Aug 9,"Replying to 
@ze14u
 and 
@MTVLebanonNews",[],
Gbelaur,Aug 8,"Replying to 
@igobylilith",[],
Jean,Aug 8,"Replying to 
@Jeank21l
 and 
@Maylliww",[],
julien,Aug 7,The fact that corona saret mn askhaf masayebna. Don’t forget to wear your masks ,[],
Anthony.R.Ishac,Aug 7,Throwback to when corona and economic country collapse were our only problems,[],
Jean,Aug 7,"Replying to 
@_EstebanFR",[],
Mount The Gallows For Ralph and JoeⓋ,Aug 7,"How everyone is respecting we still have corona and wearing masks 
 so proud ",[],
الراية,Aug 7,"Replying to 
@maatouk_michel",[],
Bruna,Aug 7,The fact that Emmanuel Macron hugged and shook hands with the people in Beirut and didn’t bother to shake Michel Aoun’s hand because of ‘corona virus’ !!!! ICONIC !!!!,[],
georges,Aug 7,Akid #Macron la2at corona .,['#Macron'],
Miira,Aug 6,"funny how corona actually helped reduce the risk of so many injuries and death rates. Imagine 6:00 pm on a regular corona- free summer day, gyms would have been packed, people at the beach, gemmayze would be packed...",[],
Finbar Anderson,Aug 6,"Good thread from Ben, and I would add another major story: corona was spiking in Lebanon in the days before the explosion. Now thousands of people have been thrown together with wearing a mask the least of their concerns. Hospitals, already struggling to cope, are now overwhelmed",[],
Joe Asmar,Aug 6,"Replying to 
@ElAsmarJoe
 and 
@imadnaim",[],
VENUS BLEEDS,Aug 5,200+ corona cases have been recorded in the last 12 hours. please take precautions and wear your masks if you're on the streets to help. we need to work against god at this point.,[],
Marie Claude Farhat,Aug 5,"Replying to 
@Lebanon24",[],
Reem,Aug 5,"The moment hell was unleashed upon the people of Lebanon who were already suffering what they thought was worse.(biggest economic crisis and corruption and political rott and corona and and and...)
#Beirut
#prayforbeirut
#BeirutBlast
#Lebanon
#لبنان","['#Beirut', '#Lebanon', '#prayforbeirut', '#لبنان', '#BeirutBlast']",
KARAM PETER,Aug 5,"Kenna n2oul ya ma7la l sawra bel teskir
Then ejet corona elna yaret bas financial crisis
Now explosions  w crisis w corona 
Shou baad fi?",[],
Shawarma papi,Aug 5,"On top of the economic crisis, corona, burning of flour storage, bush fires in the span of a year, and Israel threatening for war, Lebanon experiences this. May God save us and protect us 
 my heart bleads for Beirut 
 #PrayForBeirut #PrayForLebanon","['#PrayForLebanon', '#PrayForBeirut']",
Nabil 75,Aug 4,Le médecin officiel de whatsapp qui partage les infos du corona il est devenu expert en géopolitique + génie en ingenieurerie des explosifs,[],
A.Y,Aug 4,"You know what's the major problem ?
The lebanese people.

Explosion: everyone turns into a chemical engineer
Financial crisis: everyone turns into a financial analyst
Corona: we are all doctors and experts in the field.",[],
#البس_كمامة,Aug 4,"Donate blood 
 volunteer do whatever you want but please wear a mask, corona is still out there",[],
Nad,Aug 4,Corona cancelled everything except my feeling for you :(,[],
Fady Karam,Aug 4,Hayda lvideo ma ra7 chilo khale kel dene tchouf kif 3am yet3emalo  maridet corona hekk ka2ina zbele bi hek balad zbele 3 se3at e3de bara ma hada starja 2arab ma 3andon mo3edit,[],
,,,[],
⁦,Aug 4,Corona Break ,[],
