section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2
Wedalert Group,4.9,(8),Wedding planner,Closed today,Habouch,
Villa Ali Ezzedine,4.5,(2),Wedding venue,,Unnamed Road,Open until 11:45 PM
Le Palmier Venue,4.3,(61),Wedding venue,,,
Les Vignobles Venue,4.5,(2),Wedding venue,,,
Al Kalaa Weddings,4.5,(8),Wedding venue,Opens at 9:00 AM,,Closed
ليلة العمر _ laylet al omer,5.0,(1),Wedding planner,Opens at 9:00 AM,Masnaa - Rachaiya Rd,Closed
Arous wedding dress,3.7,(10),Bridal shop,,,Closed today
Domaine des Mirs,4.2,(55),Wedding venue,Open until 12:00 AM,,
Al-Nojoom_Wedding_Center,5.0,(7),Wedding service,Closed today,Unnamed Road,Open until 12:00 AM
2L8 GROUP,5.0,(1),Wedding planner,Opens at 10:00 AM,Mazboud,Closed
Bella Planta,3.7,(11),Wedding planner,Closed,,Opens at 8:00 AM
كرم الجوز,4.6,(8),Wedding venue,,Taanayel,
Jardin Du Rêve - Le Rêve,4.2,(197),Wedding venue,,,Closing soon: 11:00 PM
Private wedding,5.0,(1),Wedding planner,,Michref street 12 Nassim Saray Damour area,
Laylet Omor,4.0,(15),Wedding venue,,,
Bela Vista,4.0,(1),Wedding venue,,Unnamed Road,
Raneen Group (Al Shouf),5.0,(1),Wedding service,,"Kfarhim, Main Street",
"Janna's Wedding Venues- Damour, Lebanon",4.0,(144),Hotel,,Damour Sea Shore Damour,Closed today
منتجع بيصور السياحي Baissour Country Club,4.1,(21),Wedding venue,Opens at 10:00 AM,Baisour,Closed
LAYALI SHAMS,4.6,(68),Wedding venue,,A,
عروس و عريس,4.9,(8),Wedding planner,,Kfar Sir,Closed today
la salle venue,5.0,(1),Wedding venue,Open until 11:45 PM,Sidon,
Les Vignobles Venue,4.5,(13),Wedding venue,,,
منتزه القلعة,4.5,(2),Wedding photographer,,Tyre - Qana Rd,
Anas Jarrah Photography,4.4,(7),Wedding photographer,Opens at 9:00 AM,Chtoura,Closed
Al Wadi,4.0,(53),Wedding venue,Opens at 9:00 AM,,Closed
Studio Farhat,5.0,(1),Wedding photographer,Closed,Nabatiyeh - Tyre Rd,Opens at 9:00 AM
Beloved Ketubah,4.2,(55),Wedding service,Open until 12:00 AM,,
Qalaa Resort Kfarsir,4.4,(23),Wedding venue,Closed today,Kfar Sir,Closing soon: 11:00 PM
Boustan Village,4.8,(8),Wedding venue,Opens at 10:00 AM,Rachaiya,Closed
Jardin Blanc,3.6,(5),Wedding venue,Opens at 8:00 AM,Zahlé,Closed
Casino Piscine Aalay - Restaurant,3.6,(43),Wedding venue,,,
Bella rosa wedding,4.2,(197),Wedding planner,Closing soon: 11:00 PM,,
Jardin D'amour,3.9,(104),Entertainment agency,,Aley,Open until 4:00 AM
El Baba Events & Weddings,5.0,(1),Event planner,,,
"Moments Forever | Best Wedding and Event Planners and Designers Beirut, Lebanon",4.7,(15),Wedding planner,Closed today,"Horsh Tabet, Beirut",
Em amir company,4.4,(11),Wedding planner,,Khalde,Open until 8:00 AM
Angelique Bridal Boutique,5.0,(2),Bridal shop,Closed today,,
Wow Wedding,4.0,(1),Wedding planner,Closed,,Opens at 9:00 AM
دالاس,3.8,(16),Wedding venue,,,
Darb Al-Amar - درب القمر,3.9,(95),Wedding venue,,Shoukin main road Nabatieh,Closed today
Tulip Wedding Dresses,3.6,(20),Clothing store,Open until 11:45 PM,,
Feryal Zayat wedding dresses,4.8,(8),Wedding store,Closed today,,
