section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2,section-result-info 3,section-result-description
12 INCH Record shop,4.0,(4),Record store,Closed today,Beirut,Opens at 10:00 AM,03 972 802,Source for trendy brand-name sunglasses
Joyous Moments,4.7,(31),Gift shop,Closed today,,Opens at 1:00 PM,76 732 835,Designer apparel & fragrance retailer
TAG HEUER BOUTIQUE BEIRUT SOUKS,4.1,(22),Watch store,Closed today,Beirut,Opens at 8:00 AM,01 256 655 ext. 213,Luxury Swiss watches & accessories
Krokina chocolate,4.8,(11),Chocolate shop,Closed today,,Opens at 10:00 AM,71 815 464,Supermarket for groceries & more
Converse,3.0,(1),Sportswear store,01 203 326,,Closing soon: 11:00 PM,Closed today,"Mainstay for sneakers, apparel & more"
RAFIC BAWAB & CO S.A.L,4.5,(71),Tire shop,Closed today,"Beirut, Lebanon",Opens at 10:00 AM,01 340 888,
Patchi,4.4,(18),Chocolate shop,Closed,,Opens at 10:00 AM,01 982 888,Iconic Seattle-based coffeehouse chain
feel22,4.1,(69),Health and beauty shop,Closed today,,Opens at 10:00 AM,71 574 965,Designer apparel & fragrance retailer
Bachir Ice Cream,4.0,(6),Ice Cream,01 800 868,,Opens at 10:00 AM,Closed today,
Swatch Beirut Souks,5.0,(1),Watch store,Closed today,Beirut,Opens at 10:00 AM,01 985 355,Athletic wear & shoes
La Perla,5.0,(1),Lingerie store,Closed today,Beirut,Opens at 9:00 AM,01 988 885,High-end designer lingerie & loungewear
FURLA SHOP,3.9,(10),Fashion accessories store,Closed,Beirut,Opens at 10:00 AM,01 791 491,Trendy footwear & accessories retailer
Sandro,4.0,(355),Clothing store,Closed,Beirut,Opens at 10:00 AM,04 416 000,British luxury apparel & accessories
GTSW,4.4,(11),Tire shop,Closed today,,Opens at 10:00 AM,+225 07 05 06 07,"Designer jeans, apparel & accessories"
Studio light,4.5,(6),Photo shop,Closed today,bridge,Opens at 4:00 PM,03 352 880,High-end watch designer & retailer
Fast Casual,4.1,(15),Fro-Yo,Closed,Beirut,Open until 12:00 AM,01 757 177,Retailer for hip apparel & accessories
mobile shop and omt western union zero3,5.0,(1),Electronics store,Closed today,,Opens at 12:30 PM,71 450 224,U.K.-born retailer for apparel & shoes
Aldo,3.9,(44),Shoe store,Closed,,Opens at 10:00 AM,01 884 770,Trendy footwear & accessories retailer
Art Corner,4.6,(46),Art supply store,Closed today,Beirut,Opens at 10:00 AM,01 336 064,Source for trendy brand-name sunglasses
Salsa Jeans,3.8,(41),Clothing store,Closed,,Opens at 10:00 AM,01 504 513,
Camper,4.4,(9),Shoe store,Closed,Beirut,Opens at 12:00 PM,04 717 716,Contemporary footwear for adults & kids
Natuzzi,4.6,(25),Furniture store,Closed today,Beirut,Opens at 1:00 PM,01 986 901,Designer apparel & fragrance retailer
Swarovski Beirut City Center,4.3,(48),Costume jewelry shop,Closed,,Opens at 10:00 AM,01 283 950,Luxury Swiss watches & accessories
B&S Music Shop,4.8,(11),Music box store,Closed today,Beirut,Opens at 10:00 AM,03 236 372,Supermarket for groceries & more
Pointure,4.2,(124),Shoe store,Closed today,New Naccache Street,Closing soon: 11:00 PM,04 444 422,"Mainstay for sneakers, apparel & more"
souk mafi metlo,5.0,(8),Computer store,Closed,,Opens at 9:00 AM,03 141 303,
Foot Locker,4.2,(42),Sportswear store,Closed,Zalqa,Opens at 10:00 AM,01 757 072,Brand-name athletic shoes & apparel
Tempur Lebanon,3.8,(13),Mattress store,Closed today,,Opens at 10:00 AM,01 888 111,Designer apparel & fragrance retailer
Sunglass Hut,3.7,(37),Sunglasses store,Closed,"Charles De Gaulle, Horsh Tabet",Opens at 10:00 AM,01 504 512,Source for trendy brand-name sunglasses
Salsa Jeans,4.0,(1),Clothing store,Closed,Beirute,Opens at 10:00 AM,09 644 033,Athletic wear & shoes
Barbar icecream shop,4.5,(2),Ice Cream,01 988 885,Beirut,Opens at 9:00 AM,Closed today,High-end designer lingerie & loungewear
