date,year,month,day,new_cases,new_deaths,local,travelers,prev_cases,prev_deaths,total_cases,total_deaths,month_avg_ratio,cumulative_avg_ratio,diff_avg_ratio,simple_ratio
6/5/2020,2020,6,5,6,0,1,0,50,1,1320,39,-0.8740808823529411,-0.9282299112028118,0.33446746527098753,0.00815026153114598
6/6/2020,2020,6,6,8,1,1,0,6,0,1328,40,-0.8321078431372549,-0.7973532631317467,-0.1311236899661981,-0.4508440323347599
6/7/2020,2020,6,7,11,1,1,0,8,1,1339,41,-0.7691482843137255,-0.7598641514987279,-0.1410337367693962,0.08872606233519215
6/8/2020,2020,6,8,19,0,1,0,11,1,1358,41,-0.6012561274509804,-0.7724602795968971,-0.1903415214180897,-0.3606001451560428
6/9/2020,2020,6,9,18,0,1,0,19,0,1376,41,-0.6222426470588236,-0.7851904551581834,-0.1019108787067097,0.4446530019771254
6/10/2020,2020,6,10,20,0,1,0,18,0,1396,41,-0.5802696078431373,-0.7624800786224863,-0.13155356670029658,-0.5299809795530195
6/11/2020,2020,6,11,14,1,1,0,20,0,1410,42,-0.7061887254901961,-0.7247969764263769,-0.05186334928851915,0.31414645744174985
6/12/2020,2020,6,12,20,0,1,0,14,1,1430,42,-0.5802696078431373,-0.7637107845754114,-0.17174474662284162,-0.4244650499286733
6/13/2020,2020,6,13,20,1,1,0,20,0,1450,43,-0.5802696078431373,-0.654633354252556,-0.11173670901956978,0.47242035187826914
6/14/2020,2020,6,14,4,0,1,0,20,1,1454,43,-0.9160539215686274,-0.9526534599901906,0.05012374770252109,0.05035663338088446
6/15/2020,2020,6,15,18,0,1,0,4,0,1472,43,-0.6222426470588236,-0.7876151448365818,-0.2520202063586646,-0.17239921804829078
6/16/2020,2020,6,16,9,0,1,0,18,0,1481,43,-0.8111213235294118,-0.8934933820672113,-0.022184029636919234,0.2086305278174037
6/17/2020,2020,6,17,16,0,1,0,9,0,1497,43,-0.6642156862745099,-0.8109910500507451,-0.18130399619305212,-0.3519228483119353
6/18/2020,2020,6,18,6,0,1,0,16,0,1503,43,-0.8740808823529411,-0.9287742751497765,-0.012251760551095364,0.14268307180218737
6/19/2020,2020,6,19,15,0,1,0,6,0,1518,43,-0.6852022058823529,-0.8221349973287078,-0.20106741222217672,-0.2661911554921541
6/20/2020,2020,6,20,26,0,1,0,15,0,1544,43,-0.4543504901960784,-0.6942333911218241,-0.22079188952759152,-0.3595321701598449
6/21/2020,2020,6,21,51,0,0,1,26,0,1595,43,0.0703125,-0.4143560754149449,-0.35877156551316014,-0.32412146979571665
6/22/2020,2020,6,22,16,0,1,0,51,0,1611,43,-0.6642156862745099,-0.8165251808179146,0.22791380170299236,0.11035588748100286
6/23/2020,2020,6,23,19,0,1,0,16,0,1630,43,-0.6012561274509804,-0.7828228306851223,-0.1400551279794249,-0.4994368946617614
6/24/2020,2020,6,24,22,1,1,0,19,0,1652,44,-0.538296568627451,-0.6385342053206025,-0.14020839877441965,-0.5107962650758657
6/25/2020,2020,6,25,18,0,1,0,22,1,1670,44,-0.6222426470588236,-0.795777567686085,-0.07357133225518893,0.37649677949249993
6/26/2020,2020,6,26,35,0,1,0,18,0,1705,44,-0.2654718137254902,-0.6078111921856881,-0.27463374500008153,-0.3264859724203518
6/27/2020,2020,6,27,22,0,1,0,35,0,1727,44,-0.538296568627451,-0.7546102951189135,0.011751258207812573,0.27646219686162626
